Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity (left arm),extremity angular velocity (right arm),extremity angular velocity (Left leg),extremity angular velocity (right leg),Partial joint attention,efficiency,Spatiality
69,0.9057371036328458,0.16757540397428417,0.9672649204902465,0.6993028092286182,0.6842196322700371,0.05716525140652624,0.42972869763801214,0.935038275642876,0.17572305501808355,0.17079994718389077,0.9250090473270548,0.12340551696054751,0.01953467896129266,0.001571223173610468,0.47824748849649285,0.47824748849649285,0.9557611633913302,0.7687448035703918
70,0.9199452511762781,0.17082104907050621,0.9707630441313502,0.6996995039379554,0.6970461754687238,0.023902449390944394,0.43355690723345647,0.935087504255509,0.04363997156041363,0.16964553744854774,0.1202010211036851,0.12234059443681329,0.018140766069460152,0.0019659204232388133,0.09505746098711845,0.08152427078397441,0.9528958468959579,0.4854506138516812
71,0.9452928513085304,0.1711699050783727,0.9650785932145567,0.7002828223222184,0.6993659485149744,0.027745232061764637,0.4364965921992723,0.9351349250708292,0.040957991549079996,0.17001526722300245,0.24390651349761241,0.12040194465417538,0.01700854065151706,0.0025428312416542207,0.15825526138031007,0.10449645226293205,0.9598211991784166,0.5417518479861393
72,0.976172957163931,0.16971418104153996,0.9552706717721281,0.7005434654203992,0.6949975684826432,0.0322204828809914,0.43911896939798123,0.935180551350909,0.05272483862293922,0.1703211782449213,0.33642291109170064,0.11714358122056516,0.01614108332097353,0.0029821869525237673,0.21523771693680604,0.1246429868090142,0.9897810529840603,0.5757767934430106
73,0.965971338750984,0.17396178381143154,0.9482174590485307,0.7007555098696088,0.697034354244637,0.029580917109232684,0.4418023938140847,0.9352243231015263,0.04840081772787644,0.17178234512734317,0.260862863836023,0.11365804681051253,0.015230597091934726,0.003454918911063448,0.181185296734036,0.11056625382920571,0.9925373413895014,0.5340010059303062
74,0.9438961781787168,0.17965772335060728,0.9440538899440402,0.7006096556183183,0.7071825264476852,0.02938786774515512,0.4447654283626605,0.9352667098517632,0.0503984290507805,0.17373375079732042,0.2589472815427542,0.11030853047844118,0.014215053633040426,0.003791031760769774,0.17804973786694414,0.10813435062951951,0.9932747236255726,0.5313381713225451
75,0.9194912613778699,0.18659394408273833,0.9424970467078431,0.7001399935242805,0.7166828177426353,0.029130524609298894,0.44795636561718793,0.9353075512646712,0.05305119413431448,0.17581621312016318,0.25373351925253573,0.10591602708016627,0.013715001578153047,0.003856352098865571,0.17477935881289625,0.10526076970989844,0.9951425955025807,0.5294831731421878
76,0.8949225741236684,0.1945291570196418,0.9432923351884761,0.6991677992152696,0.7253642256926189,0.028724321766672434,0.45129897196228663,0.9353469066199537,0.05339066339894195,0.17781969266265657,0.24738638107281694,0.10163025131424364,0.012741740241630444,0.003778765535763675,0.17087290390428153,0.10218868320694693,0.9956246202344748,0.5243444810753449
77,0.8711449890315461,0.2032034339676054,0.946172431526903,0.6979113494346889,0.733214177048293,0.028315438894071586,0.45474828786454585,0.9353849816930419,0.05767088306406911,0.1801132736715422,0.23785513629062732,0.0980133251780901,0.012669857571061548,0.0036594679824308524,0.16614747501059984,0.09906030007075872,0.996049644147999,0.5198533384910581
78,0.8485381014729129,0.21193012430701427,0.9507952248320951,0.696503761438616,0.7404041007577427,0.02766400520432696,0.4582621408264818,0.9354217513745998,0.05909488646834125,0.1817516789325194,0.22761084292544181,0.0934345506926527,0.011821811217214812,0.003298227047847619,0.16084098437174574,0.09535332564914942,0.9965443527320252,0.5141485953314346
