Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity(left arm),extremity angular velocity(right arm),extremity angular velocity(Left leg),extremity angular velocity(right leg),Partial joint attention,efficiency,Spatiality
81,0.894942876,0.216082284,0.972833861,0.912658128,0.82656404,0.006880244,0.530904875,0.916781283,0.048616201,0.053753701,0.05977826,0.031703712,0.016024623,0.042433967,0.014210894,0.02780163,0.879340051,0.311332754
82,0.899356824,0.217481694,0.96952483,0.912520611,0.827839001,0.007025172,0.531303239,0.916806404,0.037038388,0.051555503,0.055079932,0.025050496,0.015331173,0.045994059,0.013661751,0.026641708,0.895715667,0.333960673
83,0.903731348,0.218728119,0.964283695,0.912051546,0.829517251,0.008310058,0.531390018,0.916824288,0.032660603,0.050393033,0.068993533,0.023545031,0.01685548,0.058216195,0.011204051,0.058216195,0.926133777,0.355811136
84,0.905991939,0.219291803,0.959377835,0.910817272,0.831065064,0.008778545,0.531006787,0.916833693,0.042301797,0.06140049,0.074939263,0.02532933,0.019407531,0.057599947,0.009940827,0.057599947,0.926472293,0.344978306
85,0.906627567,0.220002439,0.95665422,0.909580486,0.831944044,0.008072635,0.529748948,0.916836491,0.027224272,0.08438341,0.066598179,0.018126641,0.022405679,0.042004823,0.008809719,0.042004823,0.910931245,0.321795439
86,0.909647065,0.220063542,0.958525185,0.90812373,0.832817128,0.008163155,0.527501718,0.916839988,0.034350103,0.10119087,0.050749689,0.018295427,0.02390726,0.025157165,0.008399469,0.01839916,0.906673728,0.315645645
87,0.91369892,0.219432934,0.960851401,0.907149484,0.832842468,0.009311738,0.524548811,0.916845907,0.033884,0.110107885,0.073585263,0.013491427,0.026164659,0.034099831,0.006941317,0.022599184,0.933055091,0.332756193
88,0.916844516,0.218852698,0.964410902,0.906497926,0.831787027,0.009979095,0.521213622,0.916856073,0.034352186,0.116310393,0.062029447,0.011097644,0.035954079,0.041076688,0.009261601,0.028886538,0.970836394,0.341043756
89,0.918138606,0.218315906,0.969814087,0.906132016,0.829158327,0.010946472,0.517815587,0.916872202,0.044198346,0.116758221,0.062493524,0.009142264,0.029236045,0.052048076,0.007925257,0.030481545,0.968898832,0.325386048
90,0.921538544,0.222665445,0.974775169,0.905733174,0.826425117,0.009369727,0.514477805,0.916892546,0.025397252,0.109424631,0.05852477,0.00836157,0.031791295,0.040148269,0.006106212,0.026977337,0.95910557,0.351791777
91,0.922973152,0.223698752,0.977901442,0.904935864,0.824916489,0.010077032,0.510849271,0.916913336,0.049288029,0.134764088,0.033792776,0.017887521,0.034982222,0.023564838,0.005082384,0.021955148,0.946365757,0.324769504
92,0.923230106,0.22400088,0.982377362,0.904577964,0.823056354,0.010437663,0.506883672,0.916935819,0.04637916,0.131832865,0.018634176,0.007053754,0.032943662,0.030221935,0.004765164,0.023687099,0.950224792,0.344742883
93,0.923176345,0.224407139,0.985622954,0.903822553,0.820971881,0.009375508,0.503073353,0.916958584,0.039036049,0.124508834,0.013350048,0.008241358,0.033782433,0.023449631,0.003315997,0.021462024,0.949576958,0.333515133
94,0.922440648,0.224446288,0.989511485,0.902498959,0.818371866,0.00925216,0.49949757,0.916982061,0.043162186,0.122664542,0.007781746,0.005109207,0.030958031,0.024905573,0.002667921,0.020948851,0.960913342,0.344542878
95,0.920312509,0.225577645,0.992891187,0.904443471,0.815845014,0.008751178,0.496172559,0.917005831,0.050466351,0.113518718,0.019341716,0.006589042,0.029031838,0.018371884,0.004291207,0.017776396,0.944702521,0.33220379
96,0.918093646,0.224548009,0.995134241,0.907013659,0.813688204,0.007462385,0.493248063,0.91702919,0.042883849,0.106749245,0.02273884,0.007952781,0.028523883,0.015419837,0.000973698,0.016478895,0.9405866,0.304358964
97,0.914607719,0.223313552,0.997341139,0.908422909,0.811633074,0.007269649,0.490749733,0.917052603,0.034546765,0.103444519,0.036673945,0.008366975,0.027500941,0.015764987,0.001584989,0.016224723,0.92332457,0.312256653
98,0.910210021,0.220076201,0.998829825,0.909956209,0.809654361,0.008487836,0.488622165,0.917076061,0.050402927,0.1202402,0.059716042,0.011240333,0.029199232,0.008509966,0.001671849,0.029199232,0.924819719,0.269898676
99,0.905636337,0.219253771,0.999570388,0.912010452,0.807770752,0.007806596,0.487020929,0.917099054,0.027954035,0.117342459,0.068500376,0.011853828,0.027536111,0.006294264,0.000837946,0.014771227,0.924075006,0.270365591
100,0.900090877,0.217830289,0.999546393,0.913347055,0.8059139,0.008693015,0.485916345,0.917121844,0.03725061,0.126600208,0.078384283,0.018368768,0.028349435,0.008048267,0.00050222,0.017519326,0.911921336,0.298831004
101,0.894095388,0.215576017,0.998700317,0.915401236,0.803737273,0.008914418,0.485072733,0.917144841,0.0314425,0.127519525,0.088792898,0.024140575,0.032941375,0.008806281,0.001087986,0.021405731,0.955264242,0.296798972
102,0.887377364,0.21322902,0.998733844,0.916082003,0.801744714,0.009774915,0.484813647,0.91716758,0.036897662,0.137645407,0.096955715,0.030012284,0.028390167,0.008558744,0.001243894,0.021900919,0.96341314,0.292066623
103,0.880079838,0.211137795,0.999123355,0.920167675,0.799954272,0.010563958,0.485192601,0.917190046,0.039032269,0.153472194,0.111769224,0.036664648,0.041526793,0.010843052,0.003125228,0.02932179,0.963315264,0.306377048
104,0.873287965,0.209808495,0.999467505,0.921564222,0.798580066,0.011572805,0.486344598,0.917212215,0.024759185,0.162423936,0.107454368,0.035209567,0.029692164,0.010550242,0.005953735,0.024338149,0.977611377,0.317149621
105,0.866371654,0.2082148,0.99764946,0.920542325,0.797193456,0.013639947,0.488442812,0.917234428,0.03834731,0.187968307,0.108826401,0.042177019,0.031575461,0.010658071,0.005092283,0.02765718,0.980621608,0.317309268
